FUN,BLInv1,BLInv2,BLInv3,BLInv4,BLInv5,BLInv6,BLNat1,BLNat2,BLNat3,BLNat4,BLNat5,BLNat6,CBInv1,CBInv2,CBInv3,CBNat1,CBNat2,CBNat3,CHInv1,CHInv3,CHInv4,CHInv5,CHNat1,CHNat2,CHNat3,CHNat4,CHNat5,CMInv1,CMInv2,CMInv3,CMNat1,CMNat2,CMNat3,CRInv1,CRInv2,CRInv3,CRNat1,CRNat2,CRNat3,PLBInv1,PLBNat1,Rt2Inv1,Rt2Inv2,Rt2Inv3,Rt2Nat1,Rt2Nat2,Rt2Nat3,SBInv1,SBNat1
73,12282,15009,15942,12713,18308,18023,1986,5681,15081,17612,15669,4869,6631,3818,7258,3390,15175,13513,9551,4526,7614,8266,4964,11487,8261,13930,7398,7696,7625,3245,9996,9138,4717,2889,6983,15,8290,2327,4630,8991,5157,1661,2740,14599,603,2701,5824,3746,2395
74,54137,66162,70274,56033,80712,79457,8553,25026,66474,77551,69000,21212,29161,16812,31993,14906,66825,59530,42100,19954,33598,36415,21848,50648,36400,61408,32614,33891,33579,14268,44020,40249,20650,12716,30769,35,36459,10174,20315,39600,22550,7295,12063,64293,2583,11771,25665,16519,10496
75,9258,11312,12002,9573,13791,13573,1458,4288,11375,13239,11776,3619,4976,2880,5474,2545,11410,10166,7198,3421,5750,6234,3738,8656,6224,10492,5573,5797,5748,2446,7515,6875,3525,2169,5259,14,6229,1752,3475,6763,3852,1268,2061,10983,442,2001,4385,2821,1796
76,368,449,477,381,548,540,58,170,452,527,469,145,198,114,217,101,454,404,286,136,228,247,148,344,247,417,221,230,228,97,299,273,141,87,209,1,247,69,138,269,153,49,82,436,17,80,174,112,71
77,212620,259795,275883,220080,316892,311943,33636,98425,261010,304390,270865,83292,114599,66183,125751,58726,262300,233736,165458,78610,132061,143116,85950,198991,143101,241173,128245,133221,131983,56243,172882,158088,81116,50039,120871,340,143146,40129,79841,155540,88601,28957,47523,252330,10312,46305,100872,64961,41375
78,348828,426155,452599,360982,519816,511699,55219,161482,428190,499359,444346,136667,187978,108630,206301,96382,430354,383487,271328,128845,216608,234720,140969,326331,234653,395565,210281,218562,216508,92257,283662,259355,133198,82108,198276,574,234872,65817,130991,255189,145390,47394,77993,413977,16976,76044,165549,106553,67982
79,166759,203726,216319,172551,248475,244572,26404,77194,204715,238668,212359,65320,89800,51907,98638,46028,205618,183228,129700,61608,103533,112222,67386,155976,112161,189077,100521,104449,103499,44080,135541,123970,63618,39198,94740,237,112240,31458,62587,121941,69473,22688,37231,197784,8054,36316,79092,50938,32451
80,254112,310468,329766,263011,378725,372805,40312,117612,311936,363961,323832,99688,137095,79085,150309,70198,313618,279435,197654,93798,157848,171012,102677,237722,170932,288197,153193,159222,157743,67194,206716,189079,97240,59893,144466,437,171237,47974,95534,185946,106222,34463,56815,301705,12492,55614,120667,77662,49575
81,63431,77476,82302,65631,94527,93058,10060,29348,77844,90827,80816,24899,34157,19740,37508,17521,78281,69752,49305,23395,39361,42649,25610,59332,42635,71918,38202,39730,39374,16748,51589,47144,24223,14919,36090,61,42712,11940,23790,46399,26409,8560,14163,75280,3075,13826,30081,19385,12360
82,731910,894210,949673,757472,1090787,1073729,115946,338787,898462,1047858,932431,286925,394444,227926,432886,202261,902949,804638,569412,270412,454512,492561,295839,684844,492461,830088,441309,458577,454320,193562,595160,544129,279355,172288,416017,1205,492769,138102,274759,535437,305035,99503,163611,868623,35529,159590,347350,223594,142551
83,384125,469258,498360,397586,572413,563462,60782,177837,471440,549825,489274,150494,207004,119604,227262,106176,473818,422212,298881,142037,238540,258501,155288,359452,258488,435638,231724,240681,238473,101655,312375,285603,146575,90412,218358,641,258613,72494,144249,281003,160027,52336,85918,455793,18644,83706,182291,117436,74837
84,2445420,2987680,3172953,2530598,3644360,3587351,389086,1131763,3002069,3501837,3115993,960306,1317973,761045,1446022,675151,3016632,2688063,1902391,903332,1519016,1646076,988647,2288028,1645507,2773372,1474258,1531986,1517684,646520,1988429,1818031,933314,575457,1389654,4139,1646451,461303,918340,1788738,1019416,332406,546765,2902150,118802,533028,1160696,746836,475805
85,491677,600603,637791,508871,732612,721114,78000,227676,603384,703787,626240,192854,265059,153211,290964,136095,606382,540409,382595,181919,305769,330912,198838,460122,330927,557594,296662,308147,305275,130252,399808,365522,187664,115851,279552,1061,331057,92893,184792,359713,205138,67127,110153,583245,23961,107410,233594,150359,95945
86,2595028,3169601,3366266,2685223,3866201,3805628,411180,1201549,3184598,3713945,3304682,1017129,1398291,808431,1535496,717371,3200578,2852248,2018300,959071,1611721,1745942,1048756,2427369,1745439,2942108,1564619,1626191,1611236,687032,2110471,1929490,991054,610811,1474879,4201,1746954,489533,974608,1898400,1081555,353348,580703,3079011,126951,565801,1231529,793648,506409
87,769787,940361,998743,796667,1147102,1129122,121884,356330,944849,1101912,980494,301601,414780,239611,455381,212577,949523,846144,598817,284451,478104,517963,311126,720182,517862,872929,464178,482225,477861,203600,625949,572283,293757,181138,437482,1208,518204,145166,289040,563092,320746,104695,172130,913536,37322,167717,365345,235260,149941
88,1948488,2380116,2527999,2016283,2903317,2857933,308847,901856,2391538,2789208,2481841,763958,1049828,606379,1152304,537933,2403405,2141637,1515342,719653,1209981,1310982,787349,1822577,1310542,2209305,1174479,1220614,1209299,515181,1584479,1448712,743735,458246,1107060,2892,1311541,367180,731559,1425167,811878,264594,435345,2312250,94728,424409,924448,595099,379454
89,1411659,1724612,1831676,1460826,2103751,2070849,225174,653204,1732837,2021832,1799013,555045,760854,439155,834645,389668,1741466,1551678,1098139,521404,877387,950234,570700,1320809,949905,1600978,851079,884278,876040,373123,1147930,1049504,538543,332037,802211,2316,950340,266077,530186,1032548,588471,191752,315590,1675316,68445,307597,670042,431135,274521
90,967336,1181879,1255186,1001003,1441697,1419145,154074,447607,1187599,1385431,1232729,380158,521447,301004,571901,267092,1193547,1063427,752416,357128,601023,651139,390957,905006,650821,1097077,583058,605958,600310,255616,786673,719358,369296,227571,549792,1569,651369,182427,363333,707569,403506,131262,216187,1148120,47003,211050,459125,295345,188230
91,2535471,3097225,3289520,2623722,3778114,3718993,402729,1173508,3112132,3630182,3230103,995065,1366196,789087,1499493,700083,3127536,2786826,1972014,936463,1574832,1706295,1024738,2371817,1705577,2875045,1528500,1588225,1573628,670323,2061813,1885214,967574,596479,1440737,4140,1706714,477933,951993,1854500,1056536,344443,566774,3008698,123332,552484,1203322,774638,493691
92,1975291,2412687,2562226,2043925,2942867,2896721,312567,914735,2424136,2826674,2515179,773774,1064341,615662,1168745,546351,2436106,2171099,1536431,730252,1227047,1329029,798409,1847795,1328758,2239525,1191088,1237902,1226452,523096,1606194,1468522,754291,465153,1122784,3515,1329705,372964,741922,1445085,823299,269253,441892,2343503,96521,430757,937352,604023,385585
93,500290,611176,648969,517672,745465,733782,79316,231681,614191,716090,637154,196161,269624,155920,295989,138343,617149,549970,389128,184883,310983,336724,202185,467998,336540,567261,301588,313499,310597,132403,406721,371975,191117,117942,284424,1026,336920,94547,187967,365954,208847,68152,112002,593633,24438,109317,237657,152862,97673
94,1168382,1427433,1516005,1209143,1741275,1714024,185285,540711,1434242,1673102,1488662,458388,629865,363665,690915,322816,1441639,1284555,908815,431471,726073,786299,472114,1093112,786013,1325060,704435,731937,725192,308898,950129,868871,446181,275043,664215,2015,786855,220448,438986,854708,487504,158627,261211,1386846,56665,255146,554816,356813,227602
95,1799794,2198812,2335159,1862525,2682149,2640182,285545,832979,2209264,2576983,2293014,706076,969942,560192,1064338,497120,2220180,1978367,1400153,664960,1118044,1211316,727496,1683984,1211019,2041131,1085214,1127571,1117084,475980,1463512,1338126,686797,423552,1022870,3056,1211715,339443,675878,1316548,750086,244700,402516,2135860,87281,392393,854384,549744,350306
96,2453560,2996908,3182821,2539069,3655590,3598310,388802,1136125,3010914,3511513,3124666,961831,1322107,764487,1451980,678461,3026132,2696896,1908553,907092,1523645,1650793,991757,2295382,1650567,2781943,1479596,1537701,1523518,649755,1995378,1824130,937025,577680,1394630,4066,1651801,463065,921475,1795060,1022412,334328,548938,2911172,120096,534788,1164190,750492,478818
97,2731612,3336664,3543711,2826571,4070023,4006290,433563,1264552,3352598,3910214,3479323,1071717,1471799,850697,1615809,754782,3369229,3002401,2124540,1009208,1696688,1838053,1104080,2555219,1837476,3097203,1646800,1711491,1695668,722717,2221314,2030769,1042780,642879,1552302,4594,1838750,515258,1025785,1998121,1138394,371530,610729,3241282,133144,595413,1296253,834841,532436
98,1412845,1726214,1833408,1462117,2105694,2072790,224977,653768,1734467,2023772,1800729,555057,761854,439675,835382,390142,1743415,1553376,1098983,521568,877897,950967,571087,1321817,950566,1602387,851655,885093,876861,373389,1149191,1050647,539616,332631,803068,2542,951548,266522,530828,1033595,589565,191651,315954,1677293,68949,308543,670929,431493,275090
99,1157986,1414610,1502461,1198294,1725551,1698566,183835,535970,1421421,1657854,1475195,454276,623982,360461,684796,319779,1428479,1272904,900634,427670,719417,779182,468006,1083229,778939,1313097,697965,725450,718721,306155,941647,860792,442044,272528,658146,1916,779671,218333,434884,847041,482715,157235,258840,1374314,56256,252422,549588,353750,225489
100,2591282,3165476,3362029,2681530,3861211,3800790,410988,1199513,3180506,3709376,3300721,1016224,1396199,806939,1532676,715880,3196288,2848357,2015621,957433,1609128,1743499,1047385,2424191,1743234,2938336,1562143,1623649,1608479,685548,2107251,1926138,989239,609770,1472513,4168,1744488,488729,972993,1895634,1079652,352328,579451,3075130,126113,564590,1229592,791777,504830
101,2497095,3050360,3239719,2583993,3720910,3662646,396175,1155740,3064898,3574752,3180948,979432,1345240,777261,1476784,689515,3079867,2744520,1942458,922658,1550995,1680359,1009433,2336192,1679999,2831614,1505517,1564271,1549903,660381,2030383,1856063,952519,587220,1418923,3870,1680770,470747,937425,1826505,1039955,339587,558225,2963051,120964,543600,1184691,763033,486028
102,1949147,2380908,2528479,2016878,2904088,2858492,309173,902546,2392387,2789486,2482230,763938,1050124,607071,1153013,538617,2403432,2142037,1516386,720702,1210929,1311834,788225,1823616,1311569,2210166,1175389,1221220,1209932,515842,1584689,1448695,743531,458779,1107711,3506,1311900,367931,731947,1425581,812041,265840,436063,2312191,94796,424481,924950,595742,379710
103,3468722,4237489,4500449,3589911,5168922,5088023,550027,1605742,4257728,4965506,4418489,1360165,1868743,1079855,2051832,958127,4278513,3812767,2698224,1281810,2153607,2333927,1402008,3245199,2333584,3933542,2091180,2173259,2153033,917387,2820498,2578171,1324093,816343,1971366,5415,2335270,654245,1302238,2537262,1445135,471578,775137,4116198,168494,755792,1645863,1059597,675558
104,655835,801142,850950,678658,977251,961992,104186,303520,804999,938974,835525,257416,353345,204158,387815,181075,808969,720877,510032,242193,407174,441289,265050,613448,441128,743666,395239,410870,406992,173379,533342,487520,250368,154597,372738,1006,441421,123576,246184,479708,273214,88999,146669,778317,31915,142898,311126,200638,127696
105,3935,4810,5106,4071,5865,5778,621,1814,4830,5638,5017,1538,2119,1237,2326,1084,4850,4327,3056,1449,2465,2653,1587,3677,2642,4465,2366,2466,2435,1035,3194,2918,1498,1018,2269,15,2642,739,1480,2880,1636,532,911,4672,187,848,1863,1298,761
106,709279,866417,920284,733956,1056877,1040368,112650,328268,870585,1015462,903584,278357,382139,220820,419444,195858,874873,779628,551600,261955,440389,477252,286646,663445,477075,804264,427453,444373,440176,187539,576803,527236,270776,167289,403144,1123,477390,133655,266249,518811,295472,96280,158670,841768,34549,154534,336492,217096,138122
107,789380,964361,1024133,816898,1176254,1157816,125102,365461,968933,1129893,1005448,309438,425360,245868,466968,218116,973567,867659,614160,291806,490316,531216,319190,738606,531182,895178,476017,494652,490039,208910,641826,586676,301295,185875,448627,1464,531478,149035,296486,577461,328968,107562,176595,936732,38409,172074,374721,241216,153762
108,570,697,740,590,850,837,90,263,700,817,727,223,307,177,337,157,703,627,443,210,354,383,230,534,383,647,343,357,354,150,464,423,218,133,324,0,383,107,214,417,237,77,127,677,27,124,272,174,111
109,3609887,4409917,4683362,3735488,5379043,5294748,573119,1671091,4431251,5167687,4598320,1416011,1945017,1123833,2135124,997001,4452296,3967585,2808031,1333818,2242190,2429428,1459366,3377122,2428694,4093443,2176240,2261663,2240628,954828,2935165,2683383,1377778,849720,2051384,6336,2430183,681017,1355488,2640374,1504535,491128,807463,4283414,175632,786871,1713630,1102848,702980
110,1056160,1290024,1369819,1092875,1573462,1548728,167565,489113,1296194,1511291,1344851,413996,569135,329058,624936,292067,1301937,1160407,821904,390940,656261,711005,427328,988329,710950,1197603,637224,661869,655740,279885,858648,785113,402776,248768,600150,2187,710661,199454,396663,772510,439968,144579,236825,1252592,51543,230114,501456,323122,205850
111,108014,131992,140191,111786,161012,158501,17174,49940,132626,154728,137678,42392,58230,33581,63844,29806,133350,118795,83988,39811,66974,72638,43605,101033,72622,122509,65055,67656,67017,28492,87847,80273,41322,25368,61373,136,72816,20362,40578,79014,45119,14561,24103,128282,5203,23614,51239,32917,20992
112,51775,63288,67214,53597,77193,75987,8242,23951,63593,74175,66004,20309,27938,16116,30622,14324,63956,56969,40268,19087,32110,34826,20911,48433,34818,58737,31190,32447,32143,13673,42125,38497,19857,12183,29443,79,34945,9799,19489,37891,21670,6987,11557,61525,2507,11367,24593,15792,10089
113,121912,148999,158252,126189,181758,178922,19368,56383,149714,174669,155414,47854,65745,37921,72072,33675,150546,134103,94806,44935,75653,82024,49227,114042,81981,138292,73449,76360,75654,32165,99166,90672,46645,28662,69318,158,82181,23005,45819,89192,50947,16445,27194,144802,5871,26686,57877,37189,23716
114,1150,1401,1474,1180,1700,1670,178,539,1417,1621,1439,441,607,360,682,314,1391,1243,892,432,722,779,466,1069,771,1293,689,719,715,308,921,850,432,269,644,8,764,223,428,830,477,175,258,1339,55,244,541,349,224
115,903576,1103924,1172353,935104,1346547,1325464,143500,418240,1109145,1293662,1151182,354496,486926,281373,534385,249699,1114524,993214,703085,334024,561282,608171,365385,845580,608148,1024809,544915,566184,560873,239079,734729,671582,344727,212677,513538,1676,608312,170514,339342,661005,376503,123073,202293,1072250,43795,197023,429108,276038,175875
116,907069,1107980,1176743,938595,1351458,1330241,143782,419936,1113280,1298123,1155141,355418,488708,282422,536516,250624,1118485,996808,705666,335280,563236,610279,366748,848626,610316,1028521,546925,568343,563069,240061,737463,674078,346179,213401,515379,1666,610462,171160,340551,663484,377905,123590,203064,1076165,44093,197628,430616,277033,176600
117,1247103,1523430,1617878,1290573,1858192,1828999,197930,577432,1530652,1784862,1588353,488799,672134,388392,737664,344785,1537675,1370493,970613,461410,774677,839360,504568,1167175,839580,1414357,752328,781509,774171,330300,1013900,926733,475759,293566,708657,2625,839391,235549,468404,912306,519610,170387,279613,1479453,60617,271826,592409,380966,242754
118,96285,117655,124977,99646,143537,141306,15215,44505,118213,137919,122720,37725,51861,29917,56888,26505,118839,105871,74866,35485,59733,64774,38864,90072,64740,109207,58003,60283,59718,25373,78303,71583,36702,22615,54701,85,64807,18088,36106,70420,40086,12973,21449,114337,4607,20943,45636,29374,18676
119,262134,320376,340254,271326,390784,384685,41534,121232,321883,375482,334089,102786,141374,81521,154985,72397,323662,288329,203834,96614,162622,176308,105817,245189,176246,297332,157921,164226,162670,69178,213271,194970,100384,61669,148999,343,176731,49488,98553,191794,109574,35355,58456,311349,12697,57434,124392,79954,51018
120,1414397,1727874,1835098,1463712,2107623,2074616,224933,654771,1736189,2025022,1801942,555401,762131,440379,836565,390681,1744569,1554634,1100219,522633,878353,951911,571866,1323211,951645,1603910,852692,886166,877938,374132,1150168,1051391,539829,332862,803721,2430,952146,266771,531056,1034566,589397,192367,316310,1678461,68866,308324,671361,432121,275484
121,1426,1742,1850,1475,2125,2092,228,658,1750,2042,1817,558,767,442,842,392,1758,1567,1108,526,883,958,575,1333,959,1617,858,892,883,376,1159,1061,543,334,809,0,958,268,533,1043,592,192,317,1692,68,311,676,433,279
122,104567,127723,135633,108200,155769,153331,16554,48423,128319,149638,133140,40967,56343,32566,61866,28892,128929,114897,81337,38656,64949,70365,42271,97805,70336,118542,63069,65525,64911,27685,85018,77787,39913,24612,59390,194,70364,19729,39292,76490,43573,14263,23414,124026,5103,22792,49653,31981,20386
123,194454,237534,252212,201231,289710,285149,30809,90075,238674,278245,247589,76212,104768,60591,115095,53768,239740,213673,151307,71959,120815,130884,78649,181944,130863,220492,117301,121860,120757,51520,158067,144534,74216,45794,110506,374,130917,36755,73051,142231,81038,26595,43514,230654,9467,42366,92289,59458,37928
124,756117,923656,980971,782497,1126690,1109069,119878,350049,927991,1082338,963138,296508,407511,235510,447309,209117,932701,831182,588285,279525,469596,508772,305675,707504,508786,857466,456005,473822,469403,200176,614870,562047,288685,178044,429822,1386,509138,142750,284026,553180,315123,102979,169260,897283,36810,164925,359002,231055,147367
125,32977,40254,42725,34086,49083,48301,5194,15278,40475,47117,41911,12881,17739,10265,19522,9108,40594,36180,25619,12194,20465,22178,13312,30806,22150,37340,19849,20659,20473,8738,26795,24511,12616,7745,18724,60,22178,6226,12376,24085,13788,4518,7401,39040,1634,7228,15653,10081,6456
126,1408903,1721139,1827917,1457969,2099434,2066604,223571,652140,1729352,2016960,1794739,552728,759094,438702,833284,389293,1737961,1548697,1095888,520508,874842,947954,569426,1318060,947803,1597636,849311,882746,874528,372641,1145656,1047208,537858,331559,800715,2317,948517,265814,529012,1030607,587077,191492,314984,1671999,68496,307163,668549,430347,274464
127,1368,1672,1776,1416,2040,2008,216,632,1680,1960,1744,536,737,424,808,376,1688,1504,1064,504,848,920,552,1280,920,1552,824,856,849,360,1113,1016,522,320,777,0,920,256,512,1000,569,184,305,1625,66,296,649,416,264
128,1945055,2375646,2522976,2012842,2897764,2852309,307881,900777,2386704,2783511,2476800,762231,1048050,606204,1151347,538036,2398731,2137847,1512965,719267,1207801,1308616,786183,1819600,1308399,2205233,1173066,1219058,1207932,515285,1581892,1446152,742930,458009,1105655,3215,1309447,367114,730466,1423041,810472,265271,435448,2307534,95407,424058,922954,595308,379849
129,866406,1058479,1124129,896673,1291172,1270956,137510,401030,1063486,1240483,1103819,339913,466937,269711,512442,239375,1068730,952352,674092,320225,538246,583153,350277,810742,583036,982624,522502,542797,537767,229157,704526,644122,330524,203926,492454,1492,583255,163421,325343,633747,361056,117895,193729,1028077,42075,188792,411193,264788,168676
130,1217892,1487736,1580004,1260268,1814694,1786236,193404,563842,1494930,1743360,1551298,477775,656216,379264,720382,336535,1502001,1338557,947387,450138,756510,819595,492404,1139386,819416,1381001,734255,763071,755966,322224,990303,905177,464775,286580,692067,2229,819850,229800,457318,890803,507554,165818,272506,1445015,59290,265558,578154,372071,237266
131,143874,175754,186642,148885,214371,211020,22780,66617,176577,205908,183224,56445,77511,44807,85112,39768,177438,158121,111925,53200,89323,96819,58160,134612,96800,163140,86770,90153,89319,38082,116993,106967,54896,33851,81777,227,96866,27153,54012,105236,59930,19619,32140,170692,6996,31369,68229,43965,28042
132,2065229,2522826,2679258,2137192,3077307,3029109,327390,956036,2534805,2956133,2630492,809716,1112653,643100,1221730,570597,2547184,2269945,1606501,763256,1282393,1389605,834755,1932115,1389370,2341827,1245143,1293997,1282057,546427,1679338,1535077,788294,485903,1173665,3284,1390226,389584,775368,1510680,860353,281036,461843,2450507,100454,449957,979897,631143,402381
133,48104,58763,62411,49798,71683,70559,7601,22259,59022,68854,61270,18849,25902,14965,28473,13274,59319,52870,37422,17786,29852,32355,19434,45013,32360,54552,29017,30131,29862,12721,39113,35741,18335,11301,27340,59,32372,9054,18037,35184,20001,6538,10747,57072,2324,10464,22808,14712,9360
134,15198,18570,19725,15727,22653,22301,2403,7022,18657,21766,19366,5954,8179,4718,8976,4178,18749,16709,11815,5601,9438,10218,6130,14216,10216,17235,9153,9511,9423,4001,12353,11288,5783,3559,8632,18,10224,2850,5692,11110,6318,2044,3386,18040,722,3316,7205,4628,2943
135,280333,342550,363811,290121,417861,411340,44345,129614,344163,401470,357213,109870,151022,87108,165684,77291,345935,308192,217992,103370,173919,188533,113155,262232,188487,317929,168891,175537,173905,73927,227942,208348,107042,65837,159286,304,188818,52775,105231,205026,116881,37849,62515,332805,13423,61138,132953,85450,54390
136,51292,62646,66545,53077,76438,75241,8104,23711,62939,73435,65347,20101,27603,15924,30312,14132,63242,56351,39898,18948,31806,34496,20715,47998,34506,58168,30925,32109,31813,13536,41695,38093,19519,12017,29123,47,34493,9626,19211,37499,21308,6953,11457,60844,2436,11114,24301,15645,9931
137,109353,133628,141901,113173,162992,160450,17273,50567,134242,156573,139317,42824,58875,33985,64639,30126,134896,120196,85052,40359,67859,73553,44148,102311,73539,124022,65910,68479,67835,28843,88877,81243,41664,25665,62115,107,73612,20563,41026,79965,45504,14797,24373,129782,5216,23740,51834,33339,21194
138,437160,534013,567065,452425,651333,641122,69168,202466,536443,625614,556676,171315,235610,136320,258786,120963,539216,480563,340069,161659,271403,294122,176674,408975,294084,495670,263664,274088,271514,115866,355549,325106,167130,103021,248520,693,294430,82570,164245,319909,182266,59620,97807,518720,21523,95351,207383,133802,85447
139,358254,437650,464766,370723,533787,525420,56763,165856,439766,512711,456226,140398,192919,111506,211907,98883,441722,393657,278677,132406,222466,241048,144827,335142,241012,406215,215961,224430,222371,94741,291187,266198,136661,84271,203568,595,241131,67571,134441,261986,149218,48788,80088,425014,17368,78005,170014,109420,69709
140,1088819,1330149,1412618,1126787,1622479,1597053,172655,504080,1336501,1558518,1386860,426893,586732,339036,644037,300804,1342828,1196709,847162,402509,676199,732795,440265,1018811,732721,1234787,656611,682192,675880,288126,885295,809314,415437,256304,618693,1950,732896,205499,408792,796428,453621,148339,243497,1291992,52988,237184,516695,332645,212012
141,165440,202089,214648,171195,246517,242667,26287,76562,203065,236857,210752,64941,89133,51465,97817,45653,204063,181832,128659,61087,102711,111313,66851,154749,111274,187591,99713,103626,102656,43719,134528,122991,63126,38919,93983,254,111345,31165,62094,120996,68901,22442,36962,196325,8038,36020,78497,50508,32182
142,1012474,1236888,1313592,1047758,1508741,1485113,160693,468684,1242809,1449433,1289745,397163,545578,315238,598885,279678,1248894,1112901,787605,374102,628895,681384,409272,947238,681190,1148151,610471,634316,628468,267789,823249,752661,386332,238376,575405,1789,681579,191025,380176,740588,421910,137748,226423,1201538,49181,220652,480622,309347,197211
143,1156700,1413127,1500818,1197080,1723726,1696756,183578,535453,1419867,1655987,1473575,453767,623294,360158,684114,319535,1426868,1271504,899860,427435,718285,778421,467630,1082252,778291,1311778,697400,724713,717980,305968,940575,859782,441456,272261,657346,1896,778727,218222,434330,846145,481919,157320,258565,1372795,56175,251981,548860,353349,225239
144,1356470,1657038,1759924,1403665,2021286,1989652,215066,627848,1665023,1941838,1727884,531898,730815,422233,802250,374547,1673216,1491010,1055013,501000,842371,912713,548213,1268903,912439,1538122,817664,849735,841923,358639,1102970,1008365,517712,319125,770833,2136,913095,255751,509220,992164,565208,184278,303170,1609734,65891,295506,643671,414378,264155
145,2157934,2636252,2799627,2233140,3215598,3165229,341712,999125,2648852,3088604,2748424,845433,1162754,672298,1276421,596430,2661523,2372012,1678967,797864,1340757,1452269,872488,2019205,1452101,2447177,1301200,1352200,1339655,571129,1754570,1603820,823379,508132,1226499,3832,1452855,407455,810431,1578681,899042,294093,482667,2560741,104757,470221,1023966,659656,420423
146,214652,262191,278469,222147,319839,314826,34001,99397,263441,307303,273417,84179,115647,66903,127049,59369,264832,235983,166922,79280,133329,144398,86716,200767,144337,243371,129414,134478,133292,56786,174575,159582,81986,50587,122050,374,144519,40513,80603,157019,89466,29159,47988,254756,10465,46855,101902,65653,41919
147,645764,788865,837792,668300,962245,947165,102434,299000,792631,924373,822555,253172,348023,201098,382012,178451,796389,709750,502477,238794,401137,434641,261174,604277,434617,732343,389479,404629,400866,170940,525060,480023,246439,152085,366980,1233,434718,121924,242509,472378,269086,88049,144524,766203,31471,140772,306581,197351,125784
148,813336,993577,1055330,841593,1211967,1193013,129228,376443,998362,1164474,1036207,319236,438297,253206,480966,224652,1003306,894068,632582,300330,505151,547290,328790,760836,547147,922276,490224,509562,504790,215071,661406,604609,310506,191433,462205,1424,547601,153352,305431,594960,339054,110433,181896,965307,39629,177430,386081,248426,158406
149,849812,1038120,1102461,879448,1266230,1246408,134692,393457,1043090,1216340,1082309,332986,457958,264587,502674,234721,1048007,933968,661101,314122,527956,571894,343526,795021,571737,963633,512418,532445,527519,224862,691024,631803,324337,200117,482886,1486,571996,160313,319144,621620,354210,115751,190212,1008342,41418,185157,403408,259747,165528
150,436080,532760,565808,451286,649857,639687,69223,201861,535293,624324,555543,171033,235045,135763,257910,120477,537932,479360,339283,161147,270910,293505,176315,408046,293455,494566,262970,273221,270678,115373,354597,324203,166431,102668,247817,780,293614,82300,163806,319002,181768,59346,97517,517525,21179,95063,207008,133214,84910
151,1267807,1548452,1644481,1312007,1888772,1859148,200642,587164,1555644,1814156,1614309,496657,683167,395087,750442,350712,1563455,1393416,986260,468933,787311,853011,512539,1186127,852936,1437433,764737,794614,787360,335913,1031040,942612,484119,298540,720700,2184,853433,239332,476144,927535,528244,173056,283875,1504022,62161,276344,601635,388018,247550
152,561980,686560,729103,581628,837450,824328,89216,260197,689808,804575,715924,220445,303007,175012,332477,155351,693222,617774,437266,207783,349247,378285,227250,525870,378215,637353,338956,352154,348902,148770,457011,417897,214668,132387,319475,1052,378473,106169,211198,411150,234528,76606,125742,666858,27494,122688,266793,171805,109584
153,205833,251421,267065,212967,306694,301892,32792,95272,252655,294715,262234,80887,110897,64066,121720,56842,253914,226249,160057,75987,127806,138509,83200,192514,138444,233377,124047,128932,127740,54409,167385,153036,78576,48441,116982,339,138562,38803,77274,150551,85781,27931,46024,244263,10040,44904,97716,62870,40097
154,23589,28787,30594,24400,35129,34576,3733,10928,28928,33760,30035,9239,12716,7357,13965,6545,29107,25940,18325,8704,14631,15852,9519,22045,15845,26727,14206,14785,14652,6254,19208,17547,9048,5557,13428,33,15884,4448,8857,17262,9850,3193,5278,27994,1191,5176,11190,7218,4638
155,276370,337641,358585,286023,411838,405388,43893,127952,339261,395660,352074,108487,148929,86036,163471,76326,340870,303768,215002,102141,171658,186012,111745,258574,185963,313416,166641,173141,171546,73106,224714,205461,105465,65060,157048,470,186052,52141,103769,202157,115179,37613,61770,327953,13438,60213,131141,84439,53812
156,1123842,1372820,1457801,1163007,1674445,1648139,178155,520575,1379385,1608334,1431141,440572,605687,350393,665152,310943,1386056,1235318,874357,415703,698289,756334,454412,1051470,756210,1274330,677796,704433,697956,297770,913813,835445,429267,264917,638938,2248,756770,212463,422239,822211,468585,153461,251642,1333483,55085,245261,533632,343726,219478
157,176150,215183,228498,182296,262459,258341,27936,81581,216197,252095,224325,69098,94937,54910,104238,48745,217275,193621,137047,65156,109442,118540,71216,164815,118531,199742,106244,110391,109379,46656,143238,130948,67262,41495,100155,350,118603,33296,66207,128861,73473,24041,39407,209012,8602,38449,83605,53864,34381
158,852437,1041318,1105981,882038,1270170,1250288,135285,394539,1046364,1220301,1085842,334349,459250,265385,504112,235395,1051436,936966,662968,314822,529485,573545,344540,797378,573392,966557,513745,534043,529047,225377,693138,633563,325383,200573,484406,1434,573888,160736,320073,623515,355278,115804,190648,1011619,41507,185790,404607,260322,165995
159,324889,396826,421431,336194,484033,476430,51539,150446,398732,464957,413732,127371,175027,101135,192232,89737,400592,356980,252744,120136,201816,218654,131378,303947,218596,368366,195948,203519,201687,85993,264131,241526,123935,76456,184618,569,218655,61312,121994,237598,135348,44315,72667,385361,15802,70757,154155,99339,63297
160,428,522,555,442,638,628,68,198,525,612,545,168,230,134,252,118,528,470,332,158,267,288,172,400,288,485,258,268,265,112,347,318,162,106,245,1,288,80,160,313,177,58,98,508,20,92,204,137,83
