,BLInv1,BLInv2,BLInv3,BLInv4,BLInv5,BLInv6,BLNat1,BLNat2,BLNat3,BLNat4,BLNat5,BLNat6,CBInv1,CBInv2,CBInv3,CBNat1,CBNat2,CBNat3,CHInv1,CHInv3,CHInv4,CHInv5,CHNat1,CHNat2,CHNat3,CHNat4,CHNat5,CMInv1,CMInv2,CMInv3,CMNat1,CMNat2,CMNat3,CRInv1,CRInv2,CRInv3,CRNat1,CRNat2,CRNat3,PLBInv1,PLBNat1,Rt2Inv1,Rt2Inv2,Rt2Inv3,Rt2Nat1,Rt2Nat2,Rt2Nat3,SBInv1,SBNat1
CHInv4,0.559623,0.555269,0.589923,0.479671,0.515983,0.586996,0.833925,0.484731,0.549313,0.637669,0.636899,0.804716,0.632963,0.65842,0.484696,0.658424,0.703934,0.644188,0.497766,0.58565,0,0.473106,0.588091,0.54153,0.571453,0.471696,0.524369,0.500474,0.472474,0.589584,0.603277,0.555242,0.753673,0.740621,0.621501,0.821081,0.622859,0.712739,0.66434,0.526458,0.635387,0.68559,0.7773,0.703818,0.866596,0.814319,0.646298,0.571774,0.725104
CHInv5,0.587182,0.621489,0.594491,0.56953,0.579313,0.619658,0.764754,0.52482,0.531201,0.547627,0.565083,0.71401,0.668983,0.709058,0.504232,0.559636,0.683826,0.680106,0.573899,0.651598,0.473106,0,0.526422,0.547733,0.523151,0.444398,0.57612,0.543927,0.502841,0.486863,0.614923,0.534708,0.76934,0.778669,0.695364,0.822072,0.682118,0.702865,0.724723,0.539031,0.686623,0.720453,0.79405,0.720915,0.886878,0.806814,0.699238,0.599619,0.735981
CHNat1,0.538335,0.621634,0.562638,0.586329,0.58571,0.616692,0.693304,0.516253,0.591942,0.585046,0.53629,0.680081,0.569979,0.579425,0.594406,0.687288,0.732662,0.675371,0.426979,0.458033,0.588091,0.526422,0,0.488373,0.481741,0.470716,0.482998,0.538176,0.657658,0.653389,0.644582,0.652611,0.753228,0.667342,0.582058,0.761302,0.623501,0.668331,0.59199,0.62283,0.649816,0.586805,0.630909,0.724954,0.817977,0.778054,0.624847,0.60976,0.685219
CHNat2,0.471609,0.435393,0.488923,0.438124,0.43017,0.420139,0.822242,0.546631,0.486155,0.518857,0.517209,0.797288,0.551244,0.602302,0.565234,0.722882,0.596749,0.537762,0.330114,0.395406,0.54153,0.547733,0.488373,0,0.24436,0.345853,0.332774,0.487478,0.559952,0.664853,0.580894,0.52883,0.773977,0.657646,0.575754,0.722704,0.549509,0.572936,0.616211,0.536236,0.684346,0.490646,0.592899,0.585147,0.858041,0.805205,0.634203,0.658029,0.753251
CHNat3,0.565087,0.504021,0.519188,0.55313,0.49366,0.490998,0.766909,0.559545,0.519099,0.554213,0.52565,0.750547,0.564164,0.634756,0.620932,0.764041,0.651265,0.617298,0.36983,0.46559,0.571453,0.523151,0.481741,0.24436,0,0.446197,0.403155,0.523841,0.595996,0.709313,0.624023,0.577764,0.772501,0.665687,0.591911,0.726219,0.560296,0.59895,0.619772,0.589832,0.710422,0.508785,0.616816,0.648832,0.847385,0.781971,0.63771,0.716774,0.779644
CHNat4,0.415623,0.349046,0.39376,0.321133,0.345157,0.375756,0.802108,0.519946,0.403327,0.433441,0.429646,0.77229,0.588702,0.658199,0.504528,0.632936,0.525462,0.475097,0.391362,0.516321,0.471696,0.444398,0.470716,0.345853,0.446197,0,0.437712,0.463356,0.468503,0.56795,0.555099,0.518445,0.771041,0.738526,0.582768,0.815845,0.513779,0.701073,0.644294,0.467449,0.65982,0.641954,0.696002,0.519561,0.852673,0.807934,0.611505,0.579004,0.739097
CHNat5,0.573696,0.539337,0.618433,0.444772,0.554315,0.529809,0.846045,0.514164,0.620191,0.645106,0.654292,0.824863,0.563182,0.587133,0.528642,0.702325,0.718188,0.653139,0.320462,0.358493,0.524369,0.57612,0.482998,0.332774,0.403155,0.437712,0,0.467677,0.538358,0.642414,0.604449,0.557731,0.747944,0.61983,0.555205,0.685126,0.554605,0.565588,0.6113,0.531868,0.653319,0.448491,0.565671,0.692501,0.852741,0.77734,0.591828,0.591578,0.709576
CMInv1,0.591679,0.568615,0.606308,0.510101,0.57254,0.547985,0.834627,0.501184,0.619333,0.654251,0.660025,0.817056,0.486781,0.492592,0.43993,0.570654,0.63776,0.561304,0.500288,0.551315,0.500474,0.543927,0.538176,0.487478,0.523841,0.463356,0.467677,0,0.441615,0.513623,0.521008,0.50083,0.656482,0.64366,0.519302,0.698501,0.518946,0.610646,0.562147,0.41694,0.574427,0.592855,0.617565,0.619048,0.714323,0.68565,0.590195,0.545244,0.614946
CMInv2,0.567369,0.609288,0.620176,0.477391,0.57818,0.593377,0.856397,0.528743,0.595584,0.64566,0.677954,0.824967,0.571611,0.608472,0.395917,0.574375,0.618919,0.594335,0.564855,0.604087,0.472474,0.502841,0.657658,0.559952,0.595996,0.468503,0.538358,0.441615,0,0.485706,0.525495,0.493882,0.691981,0.729259,0.603006,0.781495,0.58448,0.635967,0.686414,0.409971,0.611282,0.663783,0.757118,0.643435,0.830232,0.75848,0.654217,0.516205,0.622033
CMInv3,0.658375,0.734683,0.735025,0.619605,0.706484,0.680151,0.845921,0.550292,0.733294,0.75123,0.772072,0.845095,0.65118,0.561669,0.483431,0.468309,0.731186,0.663954,0.669205,0.637311,0.589584,0.486863,0.653389,0.664853,0.709313,0.56795,0.642414,0.513623,0.485706,0,0.625675,0.607099,0.658012,0.638555,0.654928,0.710783,0.677207,0.619683,0.656106,0.508101,0.58748,0.686234,0.732967,0.746807,0.777634,0.73659,0.702532,0.511093,0.560934
CMNat1,0.553242,0.634919,0.59836,0.553253,0.608379,0.620841,0.848031,0.605188,0.589429,0.592273,0.634812,0.811739,0.488004,0.62124,0.502499,0.613501,0.583319,0.55354,0.598673,0.701706,0.603277,0.614923,0.644582,0.580894,0.624023,0.555099,0.604449,0.521008,0.525495,0.625675,0,0.479292,0.656329,0.713948,0.614582,0.69066,0.598505,0.701292,0.697091,0.474137,0.612824,0.761418,0.701907,0.564905,0.657524,0.691083,0.649667,0.64595,0.619967
CMNat2,0.534824,0.569493,0.563095,0.499824,0.561592,0.56354,0.87094,0.547079,0.541195,0.58783,0.634195,0.816458,0.590903,0.628263,0.500482,0.628342,0.585917,0.563364,0.545043,0.641232,0.555242,0.534708,0.652611,0.52883,0.577764,0.518445,0.557731,0.50083,0.493882,0.607099,0.479292,0,0.64471,0.707327,0.604077,0.782756,0.57328,0.667441,0.692162,0.456393,0.58105,0.716952,0.738397,0.639536,0.807774,0.723015,0.641594,0.629807,0.614992
CMNat3,0.716275,0.775313,0.759638,0.741694,0.773731,0.749161,0.871346,0.688598,0.764557,0.79106,0.785455,0.829764,0.658899,0.636807,0.635969,0.640269,0.682785,0.637149,0.756836,0.755062,0.753673,0.76934,0.753228,0.773977,0.772501,0.771041,0.747944,0.656482,0.691981,0.658012,0.656329,0.64471,0,0.679489,0.667335,0.81066,0.651747,0.723012,0.649735,0.653638,0.550379,0.808861,0.757567,0.724698,0.768277,0.710656,0.695402,0.684166,0.561093
CRInv1,0.714085,0.794298,0.783176,0.716685,0.767963,0.725542,0.841718,0.663226,0.788621,0.798224,0.791027,0.866615,0.662447,0.549275,0.65477,0.706478,0.777228,0.664482,0.611132,0.604609,0.740621,0.778669,0.667342,0.657646,0.665687,0.738526,0.61983,0.64366,0.729259,0.638555,0.713948,0.707327,0.679489,0,0.591714,0.658843,0.684377,0.604936,0.544445,0.651919,0.660265,0.620708,0.59501,0.775988,0.753839,0.676573,0.703596,0.655518,0.606435
CRInv2,0.601265,0.641174,0.675803,0.599886,0.611035,0.60293,0.838911,0.599491,0.693244,0.711294,0.673019,0.816832,0.53259,0.581986,0.581211,0.725006,0.679547,0.591406,0.535263,0.57241,0.621501,0.695364,0.582058,0.575754,0.591911,0.582768,0.555205,0.519302,0.603006,0.654928,0.614582,0.604077,0.667335,0.591714,0,0.766774,0.550004,0.682253,0.53971,0.557135,0.614323,0.663749,0.651342,0.681064,0.798021,0.685381,0.583766,0.592232,0.63782
CRInv3,0.82824,0.864979,0.850393,0.828286,0.852021,0.797565,0.921402,0.737182,0.826513,0.847534,0.87648,0.941868,0.681153,0.622139,0.744277,0.734948,0.847555,0.771104,0.696257,0.71275,0.821081,0.822072,0.761302,0.722704,0.726219,0.815845,0.685126,0.698501,0.781495,0.710783,0.69066,0.782756,0.81066,0.658843,0.766774,0,0.801838,0.541687,0.712857,0.671209,0.711992,0.635311,0.682598,0.801099,0.707992,0.714733,0.701217,0.782824,0.686431
CRNat1,0.586424,0.513781,0.576424,0.54095,0.560942,0.549422,0.849008,0.618524,0.627147,0.642325,0.622598,0.81541,0.569743,0.636928,0.603476,0.734493,0.614306,0.543826,0.506839,0.610834,0.622859,0.682118,0.623501,0.549509,0.560296,0.513779,0.554605,0.518946,0.58448,0.677207,0.598505,0.57328,0.651747,0.684377,0.550004,0.801838,0,0.715636,0.569627,0.539555,0.614923,0.696356,0.696718,0.57735,0.802553,0.748766,0.588832,0.677582,0.691155
CRNat2,0.740313,0.809108,0.7843,0.721526,0.77275,0.750364,0.85766,0.639776,0.755857,0.800178,0.83183,0.866954,0.661052,0.544789,0.626894,0.676058,0.740054,0.718847,0.605311,0.577402,0.712739,0.702865,0.668331,0.572936,0.59895,0.701073,0.565588,0.610646,0.635967,0.619683,0.701292,0.667441,0.723012,0.604936,0.682253,0.541687,0.715636,0,0.632366,0.591147,0.635884,0.551449,0.64453,0.796563,0.81987,0.723242,0.757679,0.656766,0.615462
CRNat3,0.648776,0.67595,0.708584,0.673072,0.679677,0.645478,0.817596,0.602986,0.746669,0.747333,0.712907,0.805369,0.546238,0.514021,0.62246,0.713509,0.671838,0.611907,0.572586,0.58188,0.66434,0.724723,0.59199,0.616211,0.619772,0.644294,0.6113,0.562147,0.686414,0.656106,0.697091,0.692162,0.649735,0.544445,0.53971,0.712857,0.569627,0.632366,0,0.630538,0.591524,0.660791,0.664795,0.693791,0.786787,0.702259,0.642874,0.631139,0.657232
PLBInv1,0.551555,0.594977,0.603284,0.486526,0.58218,0.565925,0.85305,0.553017,0.574853,0.585244,0.6303,0.824139,0.539292,0.540636,0.447739,0.527627,0.58807,0.510269,0.547909,0.647037,0.526458,0.539031,0.62283,0.536236,0.589832,0.467449,0.531868,0.41694,0.409971,0.508101,0.474137,0.456393,0.653638,0.651919,0.557135,0.671209,0.539555,0.591147,0.630538,0,0.568317,0.662499,0.707412,0.597785,0.761698,0.719414,0.60313,0.524313,0.596219
PLBNat1,0.630178,0.702816,0.690532,0.64019,0.698429,0.684133,0.851538,0.572472,0.690389,0.713435,0.75118,0.808557,0.619369,0.5683,0.580424,0.621507,0.652327,0.609834,0.659553,0.669679,0.635387,0.686623,0.649816,0.684346,0.710422,0.65982,0.653319,0.574427,0.611282,0.58748,0.612824,0.58105,0.550379,0.660265,0.614323,0.711992,0.614923,0.635884,0.591524,0.568317,0,0.754876,0.758373,0.691319,0.821031,0.716725,0.632193,0.626998,0.552153
Rt2Inv1,0.758928,0.65782,0.748095,0.717275,0.67053,0.673838,0.850979,0.68176,0.728435,0.797534,0.799106,0.902174,0.691089,0.598843,0.661636,0.732489,0.83376,0.757658,0.465832,0.420503,0.68559,0.720453,0.586805,0.490646,0.508785,0.641954,0.448491,0.592855,0.663783,0.686234,0.761418,0.716952,0.808861,0.620708,0.663749,0.635311,0.696356,0.551449,0.660791,0.662499,0.754876,0,0.534598,0.809961,0.774868,0.769971,0.692228,0.651385,0.688395
Rt2Inv2,0.771298,0.734634,0.775474,0.754747,0.76048,0.732623,0.84053,0.74023,0.807588,0.815758,0.783356,0.882404,0.687963,0.605749,0.698783,0.724319,0.837876,0.75365,0.579526,0.572352,0.7773,0.79405,0.630909,0.592899,0.616816,0.696002,0.565671,0.617565,0.757118,0.732967,0.701907,0.738397,0.757567,0.59501,0.651342,0.682598,0.696718,0.64453,0.664795,0.707412,0.758373,0.534598,0,0.802625,0.737764,0.650317,0.672453,0.709725,0.720545
Rt2Inv3,0.537816,0.486532,0.480435,0.525215,0.514671,0.506193,0.857977,0.708447,0.518865,0.532969,0.522197,0.830346,0.610528,0.685758,0.675673,0.761894,0.461781,0.448,0.628694,0.764238,0.703818,0.720915,0.724954,0.585147,0.648832,0.519561,0.692501,0.619048,0.643435,0.746807,0.564905,0.639536,0.724698,0.775988,0.681064,0.801099,0.57735,0.796563,0.693791,0.597785,0.691319,0.809961,0.802625,0,0.792762,0.816234,0.716942,0.766772,0.755961
Rt2Nat1,0.8604,0.875505,0.850192,0.86435,0.867371,0.859369,0.871747,0.821255,0.884555,0.879946,0.864491,0.927615,0.676164,0.717834,0.770571,0.756207,0.864559,0.747735,0.853132,0.866938,0.866596,0.886878,0.817977,0.858041,0.847385,0.852673,0.852741,0.714323,0.830232,0.777634,0.657524,0.807774,0.768277,0.753839,0.798021,0.707992,0.802553,0.81987,0.786787,0.761698,0.821031,0.774868,0.737764,0.792762,0,0.768555,0.797894,0.791553,0.72365
Rt2Nat2,0.802209,0.839629,0.824184,0.800925,0.827362,0.805911,0.852741,0.773122,0.821304,0.842513,0.819414,0.877402,0.726602,0.699041,0.724559,0.72994,0.792159,0.750482,0.783354,0.783408,0.814319,0.806814,0.778054,0.805205,0.781971,0.807934,0.77734,0.68565,0.75848,0.73659,0.691083,0.723015,0.710656,0.676573,0.685381,0.714733,0.748766,0.723242,0.702259,0.719414,0.716725,0.769971,0.650317,0.816234,0.768555,0,0.686667,0.71811,0.683634
Rt2Nat3,0.64377,0.642762,0.662267,0.616892,0.639565,0.65847,0.852563,0.649116,0.675828,0.681795,0.687892,0.830195,0.6637,0.66052,0.623838,0.70765,0.736087,0.680043,0.59966,0.625201,0.646298,0.699238,0.624847,0.634203,0.63771,0.611505,0.591828,0.590195,0.654217,0.702532,0.649667,0.641594,0.695402,0.703596,0.583766,0.701217,0.588832,0.757679,0.642874,0.60313,0.632193,0.692228,0.672453,0.716942,0.797894,0.686667,0,0.670288,0.712886
SBInv1,0.622499,0.75634,0.760967,0.583385,0.68846,0.716828,0.846474,0.57854,0.76566,0.771106,0.755209,0.832025,0.631215,0.572797,0.462364,0.577977,0.740961,0.671143,0.657484,0.57095,0.571774,0.599619,0.60976,0.658029,0.716774,0.579004,0.591578,0.545244,0.516205,0.511093,0.64595,0.629807,0.684166,0.655518,0.592232,0.782824,0.677582,0.656766,0.631139,0.524313,0.626998,0.651385,0.709725,0.766772,0.791553,0.71811,0.670288,0,0.571193
SBNat1,0.692576,0.817795,0.793275,0.714302,0.771952,0.755447,0.862963,0.625329,0.777822,0.797876,0.822277,0.866164,0.643381,0.549855,0.567665,0.621188,0.695576,0.64989,0.729868,0.67512,0.725104,0.735981,0.685219,0.753251,0.779644,0.739097,0.709576,0.614946,0.622033,0.560934,0.619967,0.614992,0.561093,0.606435,0.63782,0.686431,0.691155,0.615462,0.657232,0.596219,0.552153,0.688395,0.720545,0.755961,0.72365,0.683634,0.712886,0.571193,0
